epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,150.961,1.22483,0.90746,0.91899,0.90153,0.80531,0.93313,0.585,1.26188,0.784,0.99359,0.0011882,0.0011882,0.0011882
43,154.205,1.16763,0.87942,0.88466,0.82536,0.83652,0.91142,0.55017,1.26259,0.81501,0.96341,0.0011684,0.0011684,0.0011684
44,157.471,1.21244,0.88571,0.91171,0.77934,0.84956,0.90921,0.57095,1.23035,0.78379,0.98079,0.0011486,0.0011486,0.0011486
45,160.727,1.13456,0.86115,0.89663,0.8959,0.7616,0.91295,0.58559,1.18709,0.79234,0.95675,0.0011288,0.0011288,0.0011288
46,163.983,1.17834,0.88675,0.93278,0.85966,0.86736,0.94699,0.58796,1.14736,0.7967,0.95543,0.001109,0.001109,0.001109
47,167.233,1.1805,0.87418,0.91863,0.85731,0.86726,0.93011,0.59056,1.23182,0.78237,0.95107,0.0010892,0.0010892,0.0010892
48,170.623,1.15294,0.8358,0.91803,0.895,0.84956,0.93289,0.59456,1.17451,0.73309,0.94654,0.0010694,0.0010694,0.0010694
49,174.031,1.13384,0.82669,0.89795,0.8298,0.9061,0.94128,0.5997,1.15797,0.74745,0.94871,0.0010496,0.0010496,0.0010496
50,177.447,1.15318,0.83099,0.90419,0.83956,0.83358,0.92367,0.58833,1.16885,0.77574,0.9423,0.0010298,0.0010298,0.0010298
51,180.71,1.18177,0.84413,0.90914,0.89381,0.81416,0.92817,0.59058,1.19462,0.80378,0.94136,0.00101,0.00101,0.00101
52,183.953,1.15319,0.82881,0.87933,0.84224,0.89766,0.94443,0.62494,1.10001,0.72655,0.93888,0.0009902,0.0009902,0.0009902
53,187.35,1.11601,0.81535,0.89984,0.93194,0.84823,0.94296,0.61292,1.09628,0.73523,0.9414,0.0009704,0.0009704,0.0009704
54,190.629,1.07179,0.80125,0.90816,0.89423,0.87611,0.94525,0.60831,1.11389,0.7302,0.9322,0.0009506,0.0009506,0.0009506
55,193.891,1.07636,0.79184,0.89773,0.90548,0.86726,0.95602,0.63413,1.12676,0.73443,0.94084,0.0009308,0.0009308,0.0009308
56,197.291,1.12452,0.78652,0.90759,0.89114,0.94181,0.96636,0.63527,1.07495,0.69802,0.95635,0.000911,0.000911,0.000911
57,200.7,1.08608,0.75445,0.87884,0.89973,0.87346,0.94922,0.62317,1.08169,0.71383,0.93442,0.0008912,0.0008912,0.0008912
58,203.956,1.08857,0.7839,0.90159,0.90525,0.93001,0.97699,0.60967,1.18992,0.70678,0.96749,0.0008714,0.0008714,0.0008714
59,207.198,1.15101,0.81235,0.90612,0.90949,0.86726,0.96324,0.63492,1.06731,0.71611,0.92681,0.0008516,0.0008516,0.0008516
60,210.444,1.06236,0.76494,0.9061,0.92053,0.82011,0.94941,0.64313,1.00773,0.69035,0.90922,0.0008318,0.0008318,0.0008318
61,213.854,1.04524,0.7354,0.87847,0.89133,0.94362,0.95302,0.62738,1.0557,0.69547,0.92512,0.000812,0.000812,0.000812
62,217.096,1.04608,0.77071,0.89912,0.92181,0.83186,0.94261,0.58304,1.10489,0.75948,0.92935,0.0007922,0.0007922,0.0007922
63,220.359,1.12215,0.78372,0.89336,0.90985,0.84071,0.94261,0.61233,1.10806,0.70762,0.93559,0.0007724,0.0007724,0.0007724
64,223.612,1.09102,0.78204,0.8946,0.89907,0.86711,0.94796,0.62587,1.07337,0.70016,0.93277,0.0007526,0.0007526,0.0007526
65,226.888,1.09484,0.76103,0.8974,0.89549,0.90997,0.96372,0.63699,1.03782,0.69938,0.93223,0.0007328,0.0007328,0.0007328
66,230.146,1.04569,0.76353,0.88754,0.89496,0.90477,0.9591,0.65415,1.04838,0.68457,0.92594,0.000713,0.000713,0.000713
67,233.56,1.03506,0.73877,0.87916,0.89416,0.88496,0.95404,0.63732,1.09396,0.72719,0.9414,0.0006932,0.0006932,0.0006932
68,236.819,1.11451,0.7537,0.89948,0.92939,0.93193,0.96729,0.63211,1.10621,0.71997,0.93357,0.0006734,0.0006734,0.0006734
69,240.08,1.11519,0.75258,0.88734,0.8378,0.92035,0.94898,0.65022,1.03617,0.67125,0.91775,0.0006536,0.0006536,0.0006536
70,243.325,1.13042,0.73513,0.88861,0.94357,0.88788,0.96452,0.61899,1.1363,0.6675,0.93278,0.0006338,0.0006338,0.0006338
71,246.573,1.03123,0.733,0.89045,0.94384,0.89234,0.9673,0.66292,1.02229,0.6578,0.9272,0.000614,0.000614,0.000614
72,249.964,1.07301,0.739,0.88501,0.90629,0.85593,0.95098,0.65276,0.99866,0.66748,0.93415,0.0005942,0.0005942,0.0005942
73,253.231,1.05141,0.69311,0.89122,0.86442,0.90276,0.95392,0.64699,1.05007,0.67583,0.93819,0.0005744,0.0005744,0.0005744
74,256.471,0.98178,0.68456,0.87343,0.89838,0.9292,0.95806,0.65278,1.06732,0.68881,0.93278,0.0005546,0.0005546,0.0005546
