epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,241.306,1.30497,0.81666,0.98767,0.85597,0.84151,0.91731,0.56009,1.22259,0.75736,0.98018,0.0011882,0.0011882,0.0011882
43,246.62,1.27938,0.80277,0.94939,0.8705,0.77876,0.89527,0.51284,1.32726,0.81387,0.9847,0.0011684,0.0011684,0.0011684
44,251.96,1.30119,0.80847,0.97563,0.86291,0.80531,0.91546,0.53995,1.23921,0.81731,0.97986,0.0011486,0.0011486,0.0011486
45,257.338,1.25088,0.80684,0.94546,0.88126,0.78818,0.91191,0.57011,1.17931,0.77897,0.96426,0.0011288,0.0011288,0.0011288
46,262.672,1.29944,0.85154,0.97407,0.84261,0.80543,0.91318,0.53054,1.30308,0.80631,0.97878,0.001109,0.001109,0.001109
47,267.996,1.35829,0.83977,0.96353,0.78168,0.8872,0.91877,0.52544,1.30895,0.82116,0.97753,0.0010892,0.0010892,0.0010892
48,273.434,1.26287,0.79839,0.95193,0.86216,0.87611,0.94029,0.58102,1.16192,0.72247,0.95663,0.0010694,0.0010694,0.0010694
49,278.784,1.18719,0.74434,0.93205,0.83063,0.87611,0.91357,0.55854,1.2088,0.77902,0.95685,0.0010496,0.0010496,0.0010496
50,284.169,1.20862,0.74096,0.9409,0.76811,0.88496,0.90781,0.55864,1.20257,0.77054,0.9485,0.0010298,0.0010298,0.0010298
51,289.546,1.21667,0.76448,0.96717,0.88167,0.85719,0.93484,0.593,1.19188,0.71837,0.94585,0.00101,0.00101,0.00101
52,295.399,1.16882,0.76065,0.91847,0.76631,0.88496,0.91029,0.59283,1.19984,0.75264,0.94137,0.0009902,0.0009902,0.0009902
53,300.718,1.21788,0.75892,0.93203,0.89931,0.88496,0.95178,0.56823,1.2535,0.71856,0.94553,0.0009704,0.0009704,0.0009704
54,306.118,1.1579,0.74524,0.94458,0.93196,0.84853,0.95089,0.60638,1.1405,0.70685,0.93296,0.0009506,0.0009506,0.0009506
55,312.04,1.15689,0.72513,0.9308,0.92068,0.84956,0.95399,0.62015,1.09008,0.68074,0.93382,0.0009308,0.0009308,0.0009308
56,317.967,1.15624,0.70622,0.94563,0.89022,0.84071,0.94335,0.61157,1.0773,0.66172,0.92748,0.000911,0.000911,0.000911
57,323.327,1.17272,0.71363,0.91588,0.88381,0.84071,0.93491,0.61289,1.12416,0.70298,0.93182,0.0008912,0.0008912,0.0008912
58,328.728,1.18447,0.75332,0.94268,0.80291,0.9115,0.93295,0.58928,1.12856,0.75691,0.93985,0.0008714,0.0008714,0.0008714
59,334.088,1.19142,0.74261,0.93758,0.82254,0.89381,0.93678,0.60233,1.14013,0.71415,0.93482,0.0008516,0.0008516,0.0008516
60,339.432,1.16412,0.71754,0.95031,0.80795,0.89355,0.93224,0.59407,1.16603,0.71547,0.93418,0.0008318,0.0008318,0.0008318
61,344.846,1.07884,0.69962,0.89643,0.90287,0.80531,0.9352,0.60688,1.06221,0.69494,0.9246,0.000812,0.000812,0.000812
62,350.2,1.07194,0.70766,0.91607,0.87215,0.85841,0.93788,0.62141,1.11639,0.69294,0.93497,0.0007922,0.0007922,0.0007922
63,356.06,1.15157,0.74728,0.925,0.85799,0.85549,0.93276,0.61066,1.13013,0.70671,0.94817,0.0007724,0.0007724,0.0007724
64,361.414,1.13472,0.76079,0.92583,0.8802,0.91025,0.95221,0.62261,1.09765,0.69591,0.94144,0.0007526,0.0007526,0.0007526
65,367.29,1.1414,0.71209,0.92269,0.87185,0.89381,0.93727,0.61791,1.12468,0.67404,0.94947,0.0007328,0.0007328,0.0007328
66,372.68,1.09772,0.70232,0.91273,0.79516,0.8932,0.9094,0.587,1.14449,0.70774,0.94614,0.000713,0.000713,0.000713
67,378.047,1.09877,0.68998,0.91356,0.85435,0.80531,0.92101,0.5915,1.15186,0.69952,0.93248,0.0006932,0.0006932,0.0006932
68,383.413,1.12987,0.669,0.92595,0.8999,0.87511,0.95165,0.60014,1.10013,0.67721,0.92453,0.0006734,0.0006734,0.0006734
69,388.767,1.14859,0.69923,0.92653,0.90182,0.81286,0.93904,0.61587,1.13809,0.65908,0.94231,0.0006536,0.0006536,0.0006536
70,394.11,1.13,0.69197,0.93002,0.90317,0.82542,0.93966,0.61598,1.09332,0.67227,0.94361,0.0006338,0.0006338,0.0006338
71,399.476,1.09186,0.66359,0.93268,0.93467,0.83186,0.94457,0.63461,1.05571,0.62647,0.93481,0.000614,0.000614,0.000614
72,405.343,1.12215,0.71314,0.91881,0.90963,0.87611,0.94849,0.60393,1.09589,0.68551,0.92138,0.0005942,0.0005942,0.0005942
73,410.695,1.08622,0.66352,0.9112,0.9138,0.85841,0.9427,0.59492,1.11558,0.69505,0.91404,0.0005744,0.0005744,0.0005744
74,416.065,1.03694,0.67795,0.89616,0.8836,0.87332,0.93698,0.61507,1.07881,0.70179,0.91352,0.0005546,0.0005546,0.0005546
75,422.042,1.09928,0.66738,0.88855,0.91445,0.85134,0.95143,0.6431,1.10046,0.63291,0.93139,0.0005348,0.0005348,0.0005348
76,427.911,1.0477,0.65193,0.89357,0.93109,0.83703,0.94345,0.63449,1.0458,0.64175,0.92896,0.000515,0.000515,0.000515
77,433.277,1.05644,0.64885,0.89753,0.92392,0.81416,0.94226,0.64216,1.0676,0.63799,0.9255,0.0004952,0.0004952,0.0004952
78,438.615,1.07944,0.65605,0.90415,0.89081,0.83186,0.93999,0.62585,1.08188,0.65112,0.93146,0.0004754,0.0004754,0.0004754
79,443.97,1.04179,0.64259,0.90657,0.92125,0.83186,0.94765,0.65445,1.01955,0.66928,0.91534,0.0004556,0.0004556,0.0004556
80,449.826,1.05235,0.63728,0.90139,0.85296,0.84956,0.94164,0.64066,1.0386,0.64571,0.91064,0.0004358,0.0004358,0.0004358
81,455.181,1.05958,0.65135,0.91766,0.86556,0.85462,0.9406,0.60892,1.03895,0.67615,0.91713,0.000416,0.000416,0.000416
82,460.523,1.02907,0.63422,0.89539,0.89459,0.82618,0.93773,0.62565,1.03125,0.65754,0.90942,0.0003962,0.0003962,0.0003962
83,465.861,1.00848,0.63813,0.89135,0.88954,0.85524,0.95149,0.64955,1.01404,0.61736,0.91272,0.0003764,0.0003764,0.0003764
84,471.202,1.01454,0.63617,0.87855,0.83985,0.92815,0.95823,0.64862,1.01739,0.63598,0.90605,0.0003566,0.0003566,0.0003566
85,476.549,0.96623,0.63064,0.88703,0.85405,0.89381,0.94413,0.65493,1.02082,0.62637,0.90412,0.0003368,0.0003368,0.0003368
86,482.426,1.00803,0.64326,0.87764,0.94367,0.82301,0.95525,0.64459,1.00082,0.6331,0.90545,0.000317,0.000317,0.000317
87,487.788,1.00544,0.61011,0.88513,0.80019,0.93805,0.95497,0.65599,1.0231,0.63119,0.91327,0.0002972,0.0002972,0.0002972
88,493.668,0.99815,0.60615,0.87786,0.8914,0.84956,0.95078,0.65388,1.02708,0.62774,0.91041,0.0002774,0.0002774,0.0002774
89,499.001,0.97639,0.6073,0.8795,0.9328,0.84956,0.95243,0.64107,1.03661,0.61918,0.91282,0.0002576,0.0002576,0.0002576
90,504.341,0.97582,0.61836,0.88224,0.89635,0.85841,0.94349,0.63283,1.02623,0.62305,0.90927,0.0002378,0.0002378,0.0002378
91,510.42,0.96647,0.6376,0.86219,0.90482,0.8413,0.94087,0.64789,1.02963,0.62656,0.9128,0.000218,0.000218,0.000218
92,515.763,0.94724,0.60936,0.88754,0.89633,0.86726,0.95504,0.66662,1.01735,0.61048,0.90923,0.0001982,0.0001982,0.0001982
93,521.612,0.94196,0.60791,0.8734,0.9158,0.87611,0.96271,0.66051,0.98187,0.59952,0.90609,0.0001784,0.0001784,0.0001784
94,526.932,0.97177,0.58535,0.85978,0.95224,0.83186,0.95846,0.65041,1.01782,0.60722,0.90648,0.0001586,0.0001586,0.0001586
95,532.275,0.98538,0.59782,0.87924,0.94204,0.85841,0.95245,0.6513,1.0149,0.60375,0.91011,0.0001388,0.0001388,0.0001388
96,537.606,0.90741,0.57244,0.87118,0.93597,0.84956,0.95762,0.65371,0.99332,0.60158,0.90572,0.000119,0.000119,0.000119
97,542.948,0.93742,0.5803,0.85428,0.95746,0.84956,0.95813,0.65439,0.96554,0.6057,0.90498,9.92e-05,9.92e-05,9.92e-05
98,548.27,0.90382,0.5963,0.86616,0.92305,0.84919,0.94758,0.64356,0.99748,0.61776,0.90227,7.94e-05,7.94e-05,7.94e-05
99,553.617,0.9368,0.58358,0.87734,0.91422,0.85841,0.95149,0.65833,0.99621,0.60512,0.90074,5.96e-05,5.96e-05,5.96e-05
100,558.951,0.90575,0.55462,0.86616,0.96251,0.84071,0.96129,0.67253,0.95365,0.59206,0.90006,3.98e-05,3.98e-05,3.98e-05
