epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.388,0.75574,1.99766,0.14044,0.90426,0.90971,0.94877,0.66479,0.36505,0.39864,0.02741,0.000662447,0.000662447,0.000662447
2,52.5343,0.51888,0.4633,0.04397,0.8309,0.87133,0.88379,0.60653,0.39383,0.49553,0.03112,0.00131596,0.00131596,0.00131596
3,76.6251,0.57833,0.47975,0.05253,0.79618,0.84876,0.83745,0.53858,0.45372,0.49471,0.03967,0.00195626,0.00195626,0.00195626
4,101.367,0.62869,0.48977,0.06132,0.77542,0.85102,0.84191,0.50412,0.48456,0.5305,0.04168,0.0019406,0.0019406,0.0019406
5,125.811,0.60903,0.48659,0.05746,0.83388,0.58691,0.58469,0.36926,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,150.349,0.53364,0.4728,0.04796,0.8903,0.89766,0.91776,0.60756,0.4187,0.42756,0.03401,0.001901,0.001901,0.001901
7,175.182,0.49862,0.44764,0.04184,0.87042,0.85102,0.88577,0.54354,0.5094,0.4084,0.0365,0.0018812,0.0018812,0.0018812
8,200.299,0.51182,0.4516,0.04387,0.89747,0.90293,0.92142,0.56645,0.47413,0.42855,0.03939,0.0018614,0.0018614,0.0018614
9,225.465,0.47128,0.43931,0.04183,0.88607,0.90971,0.94008,0.65544,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,250.531,0.46266,0.44572,0.04224,0.89821,0.83658,0.90679,0.60074,0.41728,0.45159,0.03616,0.0018218,0.0018218,0.0018218
11,274.946,0.50735,0.44801,0.04354,0.87032,0.92099,0.93708,0.64483,0.36556,0.43209,0.02973,0.001802,0.001802,0.001802
12,299.587,0.47579,0.43562,0.04462,0.91562,0.90971,0.95093,0.6612,0.38013,0.39717,0.02974,0.0017822,0.0017822,0.0017822
13,324.642,0.4525,0.43144,0.03748,0.88232,0.79007,0.79798,0.59016,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,349.259,0.48848,0.4413,0.04216,0.92131,0.92508,0.94896,0.66768,0.35076,0.39165,0.02904,0.0017426,0.0017426,0.0017426
15,375.618,0.45689,0.43285,0.03341,0.9186,0.91712,0.95088,0.67053,0.35237,0.3949,0.02568,0.0017228,0.0017228,0.0017228
16,402.39,0.42535,0.4276,0.03267,0.87801,0.95855,0.96625,0.67553,0.35164,0.39173,0.02845,0.001703,0.001703,0.001703
