epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
17,428.852,0.48597,0.46436,0.04044,0.86265,0.91422,0.90451,0.63391,0.35074,0.42267,0.0296,0.0016832,0.0016832,0.0016832
18,453.764,0.4773,0.45642,0.04435,0.921,0.92106,0.95539,0.64926,0.38343,0.40014,0.02882,0.0016634,0.0016634,0.0016634
19,478.057,0.46939,0.44895,0.03937,0.89352,0.92325,0.95688,0.70037,0.31761,0.39747,0.02937,0.0016436,0.0016436,0.0016436
20,503.953,0.43594,0.43698,0.03287,0.90325,0.94582,0.95947,0.66475,0.36022,0.41051,0.02689,0.0016238,0.0016238,0.0016238
21,528,0.45561,0.44683,0.03745,0.84643,0.60045,0.62826,0.41325,nan,nan,nan,0.001604,0.001604,0.001604
22,552.106,0.43765,0.44629,0.03631,0.88846,0.91422,0.93898,0.67223,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,576.143,0.42991,0.42372,0.03265,0.90739,0.93228,0.96294,0.66375,0.35979,0.39228,0.0287,0.0015644,0.0015644,0.0015644
24,600.201,0.44338,0.43752,0.03253,0.92165,0.93679,0.95166,0.6283,0.39565,0.41055,0.02948,0.0015446,0.0015446,0.0015446
25,624.297,0.43406,0.43183,0.03718,0.94917,0.92551,0.97014,0.69599,0.32575,0.39833,0.02536,0.0015248,0.0015248,0.0015248
26,648.485,0.42217,0.4177,0.0358,0.91778,0.9323,0.95841,0.70638,0.31744,0.36624,0.02502,0.001505,0.001505,0.001505
27,674.395,0.4379,0.42035,0.03881,0.91307,0.92777,0.96185,0.67407,0.34459,0.39097,0.03071,0.0014852,0.0014852,0.0014852
28,698.515,0.4834,0.47804,0.04065,0.79666,0.86005,0.81916,0.47808,0.51708,0.47109,0.03441,0.0014654,0.0014654,0.0014654
29,722.833,0.51792,0.45076,0.04509,0.90241,0.91845,0.94683,0.63782,0.38743,0.40856,0.03075,0.0014456,0.0014456,0.0014456
30,747.749,0.43867,0.43252,0.03991,0.89585,0.90745,0.94507,0.67142,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,773.421,0.43562,0.43341,0.03471,0.85469,0.77009,0.78604,0.56387,nan,nan,nan,0.001406,0.001406,0.001406
32,797.601,0.42904,0.43381,0.03319,0.90775,0.91069,0.95253,0.68288,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,821.734,0.41962,0.4223,0.02994,0.92751,0.80813,0.81749,0.6187,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,846.177,0.39878,0.43001,0.03031,0.92065,0.91671,0.94298,0.70451,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,870.952,0.39703,0.42631,0.0305,0.94495,0.89391,0.9398,0.69299,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,895.655,0.39661,0.41727,0.02912,0.91708,0.92777,0.95029,0.69825,0.31318,0.38671,0.02382,0.001307,0.001307,0.001307
37,920.036,0.39371,0.41404,0.03347,0.91789,0.94131,0.9639,0.71617,0.30488,0.37187,0.02264,0.0012872,0.0012872,0.0012872
38,946.267,0.38043,0.40354,0.02786,0.93648,0.9652,0.98013,0.72382,0.30549,0.3596,0.02398,0.0012674,0.0012674,0.0012674
39,972.526,0.38394,0.40581,0.02828,0.92299,0.66817,0.68919,0.50771,nan,nan,nan,0.0012476,0.0012476,0.0012476
40,996.971,0.38184,0.41051,0.02769,0.91623,0.93825,0.96744,0.72111,0.29895,0.36682,0.02278,0.0012278,0.0012278,0.0012278
41,1021.53,0.38652,0.4076,0.02976,0.90253,0.94055,0.96578,0.71882,0.29771,0.37471,0.02468,0.001208,0.001208,0.001208
42,1046.27,0.36728,0.40036,0.03006,0.86442,0.93545,0.94934,0.71229,0.30485,0.41187,0.02493,0.0011882,0.0011882,0.0011882
43,1070.64,0.3801,0.41512,0.03319,0.89843,0.93847,0.95522,0.71942,nan,nan,nan,0.0011684,0.0011684,0.0011684
44,1095.16,0.39288,0.42468,0.03014,0.88114,0.93712,0.95909,0.70209,0.32323,0.40193,0.02552,0.0011486,0.0011486,0.0011486
45,1120.16,0.44018,0.44176,0.03229,0.89063,0.71558,0.73203,0.53141,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,1144.69,0.36842,0.41384,0.02847,0.92403,0.80135,0.83517,0.62538,nan,nan,nan,0.001109,0.001109,0.001109
47,1168.78,0.38205,0.39991,0.02882,0.89251,0.74969,0.75496,0.59331,nan,nan,nan,0.0010892,0.0010892,0.0010892
48,1193.63,0.35443,0.3962,0.02819,0.93097,0.88286,0.92388,0.69533,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,1218.25,0.38326,0.40022,0.02944,0.92174,0.94582,0.9752,0.71691,0.3148,0.36278,0.02224,0.0010496,0.0010496,0.0010496
50,1242.5,0.36059,0.39236,0.02947,0.91751,0.93228,0.96736,0.71779,0.32263,0.36489,0.02316,0.0010298,0.0010298,0.0010298
51,1266.61,0.36621,0.39778,0.02917,0.95949,0.95485,0.98268,0.74787,0.27797,0.34516,0.02201,0.00101,0.00101,0.00101
52,1292.5,0.36079,0.39126,0.02638,0.92339,0.78898,0.81085,0.61239,nan,nan,nan,0.0009902,0.0009902,0.0009902
53,1316.61,0.36664,0.38972,0.02666,0.94799,0.94631,0.9817,0.69892,0.33206,0.36555,0.02445,0.0009704,0.0009704,0.0009704
54,1340.75,0.35719,0.39811,0.02739,0.9149,0.95485,0.97058,0.74121,0.28535,0.34832,0.01946,0.0009506,0.0009506,0.0009506
55,1364.8,0.33394,0.38131,0.02694,0.93398,0.95808,0.98627,0.74065,0.29795,0.35212,0.02104,0.0009308,0.0009308,0.0009308
56,1388.93,0.34061,0.37437,0.02568,0.90774,0.95034,0.97173,0.75225,nan,nan,nan,0.000911,0.000911,0.000911
57,1415.02,0.3435,0.38594,0.0243,0.95211,0.96388,0.98096,0.74475,nan,nan,nan,0.0008912,0.0008912,0.0008912
58,1439.12,0.34338,0.3887,0.02376,0.93477,0.95034,0.9742,0.73773,nan,nan,nan,0.0008714,0.0008714,0.0008714
59,1463.38,0.34762,0.38566,0.02464,0.96003,0.94582,0.98012,0.73676,0.28931,0.33857,0.0237,0.0008516,0.0008516,0.0008516
60,1487.67,0.35512,0.3973,0.02713,0.92259,0.93679,0.97027,0.7335,0.30038,0.36856,0.02245,0.0008318,0.0008318,0.0008318
61,1512.6,0.33402,0.38137,0.02553,0.94261,0.90745,0.9447,0.71475,nan,nan,nan,0.000812,0.000812,0.000812
62,1536.8,0.3452,0.38725,0.02463,0.9608,0.94069,0.97912,0.75248,nan,nan,nan,0.0007922,0.0007922,0.0007922
63,1562.58,0.32234,0.37456,0.02226,0.94254,0.86682,0.90028,0.67465,nan,nan,nan,0.0007724,0.0007724,0.0007724
64,1586.8,0.33402,0.38058,0.02395,0.89285,0.9526,0.95665,0.7383,nan,nan,nan,0.0007526,0.0007526,0.0007526
65,1610.93,0.32052,0.37343,0.02272,0.92698,0.82167,0.84472,0.63647,nan,nan,nan,0.0007328,0.0007328,0.0007328
66,1635,0.31715,0.37087,0.02203,0.92649,0.93883,0.97496,0.75021,0.28137,0.35552,0.02065,0.000713,0.000713,0.000713
67,1659.11,0.31716,0.37489,0.02186,0.92149,0.90078,0.93974,0.71638,nan,nan,nan,0.0006932,0.0006932,0.0006932
68,1683.34,0.33562,0.37552,0.02418,0.96847,0.90134,0.95552,0.73201,nan,nan,nan,0.0006734,0.0006734,0.0006734
69,1708.01,0.32453,0.364,0.02527,0.92493,0.8623,0.89037,0.67319,nan,nan,nan,0.0006536,0.0006536,0.0006536
70,1732.6,0.34181,0.3814,0.02514,0.89744,0.92837,0.95379,0.73298,nan,nan,nan,0.0006338,0.0006338,0.0006338
71,1757.2,0.3291,0.37963,0.02334,0.96386,0.93228,0.97834,0.75957,nan,nan,nan,0.000614,0.000614,0.000614
72,1783.38,0.33285,0.37364,0.02475,0.94675,0.94357,0.9778,0.75462,nan,nan,nan,0.0005942,0.0005942,0.0005942
73,1807.7,0.31432,0.36928,0.02158,0.91659,0.88713,0.89874,0.69348,nan,nan,nan,0.0005744,0.0005744,0.0005744
74,1832.06,0.37953,0.39014,0.02556,0.92959,0.92395,0.9776,0.70578,0.33188,0.37561,0.02185,0.0005546,0.0005546,0.0005546
75,1856.34,0.34391,0.37605,0.02294,0.95203,0.9407,0.984,0.75315,nan,nan,nan,0.0005348,0.0005348,0.0005348
76,1880.65,0.31138,0.36757,0.02172,0.94772,0.81264,0.855,0.65869,nan,nan,nan,0.000515,0.000515,0.000515
77,1904.99,0.30623,0.36644,0.02132,0.93324,0.95711,0.97014,0.75647,nan,nan,nan,0.0004952,0.0004952,0.0004952
78,1929.37,0.29906,0.36151,0.02151,0.95587,0.94808,0.98299,0.77004,nan,nan,nan,0.0004754,0.0004754,0.0004754
79,1955.49,0.30743,0.36331,0.0224,0.96587,0.95836,0.98991,0.76906,nan,nan,nan,0.0004556,0.0004556,0.0004556
80,1979.81,0.32149,0.3662,0.02471,0.94515,0.93454,0.96854,0.75022,nan,nan,nan,0.0004358,0.0004358,0.0004358
81,2004.11,0.31748,0.36241,0.02237,0.96702,0.92654,0.96911,0.75007,nan,nan,nan,0.000416,0.000416,0.000416
82,2028.44,0.31159,0.35448,0.02462,0.94392,0.89616,0.93876,0.73976,nan,nan,nan,0.0003962,0.0003962,0.0003962
83,2052.75,0.29994,0.36286,0.02065,0.95111,0.91648,0.93736,0.72939,nan,nan,nan,0.0003764,0.0003764,0.0003764
84,2077.08,0.30693,0.35759,0.02197,0.93965,0.94891,0.96889,0.7618,nan,nan,nan,0.0003566,0.0003566,0.0003566
85,2101.4,0.30055,0.35891,0.02088,0.95672,0.76298,0.78228,0.63787,nan,nan,nan,0.0003368,0.0003368,0.0003368
86,2126.03,0.3041,0.3597,0.02297,0.95088,0.9526,0.9674,0.76009,nan,nan,nan,0.000317,0.000317,0.000317
87,2150.49,0.30354,0.35486,0.02256,0.95765,0.96996,0.98922,0.76275,nan,nan,nan,0.0002972,0.0002972,0.0002972
88,2175.05,0.29987,0.35311,0.02183,0.93649,0.96526,0.97804,0.7608,nan,nan,nan,0.0002774,0.0002774,0.0002774
89,2199.75,0.29812,0.35195,0.02217,0.96174,0.96469,0.99037,0.76884,nan,nan,nan,0.0002576,0.0002576,0.0002576
90,2224.35,0.29588,0.35326,0.02108,0.94396,0.95067,0.977,0.76625,nan,nan,nan,0.0002378,0.0002378,0.0002378
91,2250.29,0.25333,0.3276,0.02185,0.9619,0.96876,0.9898,0.77414,0.24927,0.31508,0.01821,0.000218,0.000218,0.000218
92,2276.56,0.26134,0.33311,0.02099,0.93187,0.93905,0.95802,0.75135,nan,nan,nan,0.0001982,0.0001982,0.0001982
93,2300.78,0.24449,0.33229,0.01918,0.94365,0.97291,0.98711,0.78143,0.25271,0.32228,0.0181,0.0001784,0.0001784,0.0001784
94,2326.79,0.24917,0.32131,0.02258,0.97445,0.92777,0.97107,0.75481,nan,nan,nan,0.0001586,0.0001586,0.0001586
95,2350.93,0.25019,0.31999,0.02107,0.93474,0.86907,0.87922,0.68299,nan,nan,nan,0.0001388,0.0001388,0.0001388
96,2375.43,0.25038,0.3256,0.02005,0.93275,0.85553,0.85827,0.66117,nan,nan,nan,0.000119,0.000119,0.000119
97,2399.76,0.24169,0.32278,0.02056,0.94408,0.80036,0.81022,0.62883,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
98,2424.02,0.24621,0.32219,0.02013,0.94843,0.78876,0.79237,0.61654,nan,nan,nan,7.94e-05,7.94e-05,7.94e-05
99,2448.16,0.24395,0.32221,0.02403,0.95141,0.79568,0.80069,0.62394,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
100,2472.36,0.24247,0.31975,0.01894,0.93212,0.8623,0.86743,0.6743,nan,nan,nan,3.98e-05,3.98e-05,3.98e-05
