epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,493.873,1.4564,0.94143,1.00033,0.77413,0.76106,0.8444,0.44396,1.56173,0.94217,1.05937,0.0015842,0.0015842,0.0015842
44,504.618,1.44771,0.89963,0.991,0.81731,0.79182,0.87965,0.49221,1.38879,0.88148,1.01564,0.0015743,0.0015743,0.0015743
45,515.401,1.41211,0.89551,0.98584,0.76873,0.88246,0.90381,0.50801,1.3443,0.87057,0.99917,0.0015644,0.0015644,0.0015644
46,526.151,1.40593,0.88997,1.00005,0.81835,0.83722,0.88048,0.4971,1.29712,0.85265,1.00505,0.0015545,0.0015545,0.0015545
47,536.912,1.43935,0.8832,0.98843,0.78333,0.83185,0.89689,0.47348,1.50899,0.87877,0.98991,0.0015446,0.0015446,0.0015446
48,547.673,1.39726,0.86323,0.97798,0.92295,0.74205,0.89882,0.44578,1.46229,0.90821,0.98204,0.0015347,0.0015347,0.0015347
49,558.447,1.37587,0.81989,0.97115,0.86962,0.71681,0.86234,0.51725,1.29993,0.86292,0.97686,0.0015248,0.0015248,0.0015248
50,569.221,1.33181,0.81003,0.97781,0.80645,0.67257,0.80357,0.48732,1.37635,0.92225,1.01407,0.0015149,0.0015149,0.0015149
51,580.001,1.35788,0.83586,0.9935,0.84587,0.82568,0.90641,0.56291,1.22433,0.80725,0.99294,0.001505,0.001505,0.001505
52,591.868,1.27559,0.83672,0.94726,0.83053,0.73728,0.87972,0.54374,1.18625,0.82688,0.96734,0.0014951,0.0014951,0.0014951
53,602.659,1.31565,0.85213,0.96243,0.82321,0.82415,0.90252,0.52098,1.31743,0.84508,0.97627,0.0014852,0.0014852,0.0014852
54,613.508,1.28068,0.84441,0.98118,0.85662,0.82301,0.91228,0.57338,1.21569,0.78861,0.97672,0.0014753,0.0014753,0.0014753
